iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
14,3,7,False,False,,,6.9513,7.11,,,6.7271,6.77
14,3,7,False,True,0.2333924194886835,0.3918012562208978,5.5911,5.55,0.4341766592296644,0.3733197124254653,6.9776,7.04
14,3,7,True,False,,,6.8893,7.21,,,7.6583,7.65
14,3,7,True,True,0.5561868060879016,0.3817652319062734,6.5328,6.43,0.3674703596325737,0.3659084778431091,6.9562,7.28
15,4,5,False,False,,,6.1188,6.3,,,7.3509,7.18
15,4,5,False,True,0.7,0.3194215726257611,6.1677,6.31,0.2223241676981618,0.3850179334225956,7.1869,7.12
15,4,5,True,False,,,6.1646,6.3,,,7.3839,7.48
15,4,5,True,True,0.8363189864097142,0.3747871464228593,6.1826,6.22,0.2086261685173259,0.3436361802565785,7.3916,7.45
16,8,5,False,False,,,5.858,5.94,,,6.3201,6.34
16,8,5,False,True,0.8500407732897429,0.5322062791361951,6.7615,7.08,0.8480344194419583,0.6229963906220776,7.0268,6.92
16,8,5,True,False,,,7.2114,7.31,,,7.2374,7.39
16,8,5,True,True,0.7060174061997915,0.3841487642947113,6.3753,6.46,0.7943407303544083,0.4522064277157936,7.2151,6.98
17,2,9,False,False,,,6.148,6.46,,,5.6334,6.36
17,2,9,False,True,0.3071730868824212,0.1525620480250933,7.2198,7.63,0.5502072096730253,0.3094104770913982,7.3995,7.57
17,2,9,True,False,,,6.6362,7.1,,,7.1472,7.15
17,2,9,True,True,0.4740324615356311,0.2471537797839942,7.7997,7.9,0.5365002698759017,0.2172747695792078,7.6737,7.57
18,5,3,False,False,,,5.0303,5.27,,,5.2712,5.0
18,5,3,False,True,0.5116856944235126,0.2505369071610747,5.2677,5.5,0.3397870674972085,0.4872133514383635,5.2997,5.4
18,5,3,True,False,,,5.1811,5.28,,,5.9709,6.19
18,5,3,True,True,0.6694782912427512,0.2955070461843809,5.7562,6.0,0.2941480142347832,0.4155556940932932,6.1265,6.31
19,2,7,False,False,,,6.8211,7.05,,,5.8533,6.37
19,2,7,False,True,0.3971196725780456,0.4038218127547112,6.7127,6.97,0.0907477169251038,0.2995456329769007,6.8419,6.57
19,2,7,True,False,,,7.0696,7.35,,,7.4357,7.63
19,2,7,True,True,0.4499743070230527,0.2763637959603578,7.506,7.75,0.1523234272994267,0.2185700418255394,7.7145,7.59
20,6,4,False,False,,,7.2,7.21,,,5.6396,6.23
20,6,4,False,True,0.7346137148357786,0.3537870002334313,6.9761,7.31,0.8298455120977453,0.6610474158005734,6.1415,6.34
20,6,4,True,False,,,7.4685,7.61,,,6.3492,6.33
20,6,4,True,True,0.70996489017647,0.4841571428766337,7.2082,7.38,0.7728719625520687,0.4497533787898885,6.4043,6.5
21,9,9,False,False,,,6.9396,7.06,,,7.0455,7.62
21,9,9,False,True,0.6350488945062025,0.5905594643000697,6.8382,7.02,0.8764896012118679,0.737205532959613,7.1246,7.34
21,9,9,True,False,,,7.5334,7.68,,,7.5142,7.82
21,9,9,True,True,0.664388816580529,0.4252785622918294,6.9518,7.06,0.7999367168098866,0.4594505940456235,7.0699,7.53
22,9,4,False,False,,,5.5877,5.56,,,7.2417,7.25
22,9,4,False,True,0.4699531200839343,0.4035033510641437,4.8102,4.69,0.8157527620491504,0.4258289392577231,7.1841,7.51
22,9,4,True,False,,,5.1816,5.3,,,7.8351,7.9
22,9,4,True,True,0.4552825841646566,0.3685305166144622,5.4136,5.35,0.810741236831911,0.3583028022009023,7.4265,7.69
23,3,9,False,False,,,5.525,5.8,,,6.8108,7.24
23,3,9,False,True,0.4871335719800201,0.3635370594158785,6.2629,6.36,0.63471766702705,0.312263607347489,7.4189,7.56
23,3,9,True,False,,,6.3241,6.54,,,6.9927,7.4
23,3,9,True,True,0.6146315449729275,0.3802455050960208,6.7111,7.1,0.679593168525767,0.2720406608479492,7.4322,7.57
24,6,6,False,False,,,5.9785,6.14,,,6.672,6.66
24,6,6,False,True,0.6133568411762026,0.3716469949460121,6.2503,6.45,0.7872688548764051,0.4740145338120898,6.0538,6.35
24,6,6,True,False,,,7.2665,7.26,,,7.5756,7.7
24,6,6,True,True,0.5205305352829023,0.3395197653705373,6.7789,6.71,0.6392382251728904,0.3708969987972882,6.5606,6.68
25,7,5,False,False,,,5.825,6.24,,,5.5359,5.96
25,7,5,False,True,0.4686520534417341,0.4758278044924698,6.2974,6.17,0.6345894488933179,0.4890661828528565,6.5882,6.65
25,7,5,True,False,,,6.014,5.92,,,6.5594,7.1
25,7,5,True,True,0.5249722063406944,0.4653213751013054,7.0465,7.27,0.6156247071759762,0.3871603634434405,6.6132,6.58
26,4,4,False,False,,,4.5808,4.71,,,6.0653,6.32
26,4,4,False,True,0.4479021432576188,0.4808848684731395,5.7993,5.92,0.412956361476083,0.4896697485174017,6.4595,7.19
26,4,4,True,False,,,5.74,5.79,,,7.5992,7.65
26,4,4,True,True,0.5639029018607997,0.4048776141147972,5.7764,5.97,0.3126920501582512,0.207093936656256,6.7521,7.17
27,9,8,False,False,,,6.449,6.73,,,6.3879,6.53
27,9,8,False,True,0.7253274093495461,0.3804299871720875,6.6363,6.79,0.6670029459380058,0.5434677832082581,6.4756,6.89
27,9,8,True,False,,,7.2892,7.37,,,7.0305,7.35
27,9,8,True,True,0.8347715564470748,0.3964060908761697,6.7386,6.93,0.8664272158730328,0.5063428966541282,6.4781,6.92
28,2,4,False,False,,,6.0807,5.77,,,6.3668,6.36
28,2,4,False,True,0.3747988342953775,0.2444385590718535,6.393,6.58,0.4795821419476593,0.3486511948184901,6.9058,6.87
28,2,4,True,False,,,7.1573,7.08,,,7.1462,7.09
28,2,4,True,True,0.4564563950716396,0.239898644447846,6.7519,6.93,0.4795821419476593,0.1329134207514793,7.9063,8.51
29,7,9,False,False,,,6.6325,6.11,,,4.7939,5.1
29,7,9,False,True,0.5465155983552059,0.6174668505248297,7.3322,7.57,0.7517114116532332,0.398438338843277,6.4111,6.44
29,7,9,True,False,,,7.7806,8.19,,,5.8177,6.19
29,7,9,True,True,0.469896536219708,0.4641236016777585,7.5627,7.79,0.6759394946854834,0.4403696603977103,6.7308,7.2
30,2,5,False,False,,,4.7389,4.84,,,6.8201,6.83
30,2,5,False,True,0.374640402120209,0.2524616841931562,4.7062,5.19,0.0,0.008575440603352,6.1289,6.63
30,2,5,True,False,,,5.5484,5.74,,,7.332,7.54
30,2,5,True,True,0.290615827856345,0.2380269465807847,6.9649,7.17,0.388951116344975,0.2259380212058246,6.8358,7.38
31,5,8,False,False,,,5.5649,5.82,,,6.6239,7.0
31,5,8,False,True,0.4291922796764032,0.4710956111672826,6.5276,6.76,0.5132215937937412,0.4626570680288974,6.5172,6.28
31,5,8,True,False,,,6.3575,6.53,,,7.2103,7.42
31,5,8,True,True,0.3898864407035238,0.3966693634525192,7.0623,7.42,0.5642895476190698,0.4171318011566696,6.2716,6.24
32,5,9,False,False,,,6.1795,6.4,,,5.7371,5.7
32,5,9,False,True,0.5076538046038002,0.4571505861812921,7.0193,6.81,0.7605957266732366,0.5430839346665326,5.9387,6.17
32,5,9,True,False,,,7.8126,8.25,,,7.3463,7.48
32,5,9,True,True,0.561103422781654,0.5071653094155949,7.1815,7.11,0.7511154989566509,0.2409652710348608,6.6554,6.8
33,4,6,False,False,,,6.0468,6.52,,,6.5651,6.67
33,4,6,False,True,0.77743557644646,0.4501264931678201,6.4762,6.16,0.62858576317471,0.3555003312216379,6.7973,7.2
33,4,6,True,False,,,7.3444,7.78,,,7.9884,8.22
33,4,6,True,True,0.7371892005908451,0.276405740792857,6.8316,6.94,0.6175478577219994,0.4960623696319072,7.5299,7.69
34,5,7,False,False,,,6.8934,7.14,,,6.6942,6.66
34,5,7,False,True,0.7337875610451317,0.459049322652874,6.8533,7.05,0.9,0.6086991585298693,6.6586,6.9
34,5,7,True,False,,,7.7582,8.03,,,6.8427,6.97
34,5,7,True,True,0.7337875610451317,0.3498650562743987,7.0626,7.17,0.7796087113854494,0.4003423219521986,6.7931,7.11
35,2,5,False,False,,,6.6883,6.89,,,5.6384,5.77
35,2,5,False,True,0.4285519722235023,0.2544046557921308,7.3841,7.71,0.36356957498543,0.1582596981411907,5.7632,5.65
35,2,5,True,False,,,7.5993,7.82,,,6.8295,6.87
35,2,5,True,True,0.3847728206348424,0.243443125388132,7.8313,8.06,0.4926896646697138,0.2049782039868491,6.4858,6.44
36,2,7,False,False,,,6.0982,6.28,,,6.2218,6.4
36,2,7,False,True,0.4289061465405769,0.3322187766643492,6.2691,6.56,0.2843418371119073,0.3091676550572043,7.0598,7.1
36,2,7,True,False,,,7.0367,7.17,,,6.4061,6.48
36,2,7,True,True,0.4271298738598252,0.2315813404064854,6.5978,6.82,0.2055788163234738,0.2229444524212006,6.9046,6.89
37,8,2,False,False,,,4.5734,4.77,,,6.3693,6.27
37,8,2,False,True,0.5758540165596913,0.6348389174624213,5.7335,6.53,0.592790619116156,0.4565264503535973,6.0894,5.89
37,8,2,True,False,,,6.2317,6.21,,,6.644,6.48
37,8,2,True,True,0.6996110350778053,0.4179453022023354,6.1878,6.61,0.6165389761096659,0.5026286389038561,6.7438,6.79
38,5,6,False,False,,,5.7279,6.27,,,5.8579,5.87
38,5,6,False,True,0.8127811006350554,0.6694374265984949,6.6278,7.1,0.5664056381621937,0.5063092541163698,6.1387,6.32
38,5,6,True,False,,,7.3517,7.72,,,6.361,6.74
38,5,6,True,True,0.8317827778890605,0.3905416931885873,7.073,7.38,0.5380445900547768,0.2901860122281764,6.4694,6.7
39,4,5,False,False,,,5.5668,5.86,,,4.998,4.97
39,4,5,False,True,0.6586825914267613,0.4865006686999533,5.8362,6.12,0.5637296604048171,0.4533040291724671,6.1695,6.66
39,4,5,True,False,,,6.0039,6.44,,,5.4379,5.48
39,4,5,True,True,0.7114012976983706,0.4597248392119237,6.5579,7.03,0.5513509080401707,0.4089013179332443,6.2581,6.56
40,8,3,False,False,,,5.2817,5.61,,,5.5117,5.58
40,8,3,False,True,0.7181688121417718,0.4267199499253525,6.192,6.6,0.7199661680311153,0.596383058534158,5.8997,5.95
40,8,3,True,False,,,6.2687,6.8,,,6.475,6.98
40,8,3,True,True,0.8101162352354873,0.4278562691176523,6.509,6.77,0.6749286548767379,0.4165694836020015,5.8883,5.82
41,2,3,False,False,,,5.9921,5.68,,,4.8713,5.01
41,2,3,False,True,0.3886135596068715,0.3386326505386243,6.7796,7.21,0.3335530229186171,0.2634063777068591,4.5013,4.39
41,2,3,True,False,,,7.2339,7.2,,,4.7299,4.9
41,2,3,True,True,0.3611198092549007,0.261497705848789,7.3568,7.85,0.4280511018687857,0.1950393542177055,5.3126,5.4
42,8,7,False,False,,,5.9678,6.18,,,6.5332,6.69
42,8,7,False,True,0.8319024513641983,0.3598428042262322,5.9632,6.3,0.7619266583443897,0.4722177616341758,7.1048,7.1
42,8,7,True,False,,,6.7924,6.99,,,7.1248,7.11
42,8,7,True,True,0.8624245282120633,0.4100378768278721,6.7896,7.12,0.9,0.5630548540079078,6.7918,6.86
43,5,5,False,False,,,7.7302,7.85,,,5.3223,5.38
43,5,5,False,True,0.7850800000004641,0.5080686628976642,5.8047,6.08,0.3611062802290523,0.5238921256226345,6.7576,6.98
43,5,5,True,False,,,7.2646,7.5,,,7.2049,7.15
43,5,5,True,True,0.4730147052194343,0.3687921686772127,6.7709,7.11,0.4088562534895719,0.3053806101016218,6.9286,7.18
44,6,3,False,False,,,6.1106,6.29,,,5.4179,5.54
44,6,3,False,True,0.8,0.617445759462825,6.09,5.93,0.5401452351688926,0.5496749303922323,5.7468,6.24
44,6,3,True,False,,,5.8111,5.77,,,7.1781,7.26
44,6,3,True,True,0.6780571233575101,0.5456661786954305,6.2647,6.29,0.5962043134079656,0.3465398489052572,5.9925,6.41
45,7,6,False,False,,,5.842,5.44,,,5.853,5.83
45,7,6,False,True,0.6612411745424303,0.4677776590062413,6.9546,6.98,0.9,0.6753947634054824,6.1239,6.38
45,7,6,True,False,,,6.9031,7.03,,,6.739,6.92
45,7,6,True,True,0.6918850195394074,0.4766633537428902,7.3027,7.73,0.7609389040836481,0.4139043435177156,6.3516,6.28
46,8,5,False,False,,,6.9776,7.15,,,6.1376,6.1
46,8,5,False,True,0.8254977746667718,0.5837014540221065,6.6368,6.65,0.7214395771453923,0.4117369069334001,6.2792,6.6
46,8,5,True,False,,,6.9873,7.26,,,6.1037,6.42
46,8,5,True,True,0.6475834830728976,0.4547558234187812,6.716,6.91,0.600765492453122,0.3960800719546252,6.2077,6.62
47,3,5,False,False,,,5.8653,5.61,,,6.8234,6.68
47,3,5,False,True,0.5394704773414305,0.3578584371291395,5.9247,6.1,0.3481767247596679,0.3790162301242135,5.6978,6.34
47,3,5,True,False,,,6.5749,6.63,,,7.4681,7.47
47,3,5,True,True,0.6246504509183348,0.2867545197801168,5.9815,6.42,0.2587850878198714,0.2791043529557545,6.3706,6.74
48,8,6,False,False,,,7.3539,7.53,,,5.4259,5.91
48,8,6,False,True,0.5975670353754972,0.6106652306453062,7.5021,7.62,0.5545379801085173,0.6274502178059899,6.4569,6.32
48,8,6,True,False,,,7.5957,7.78,,,6.9556,7.19
48,8,6,True,True,0.6699906764293571,0.4560849157687797,7.3081,7.61,0.5741389589346306,0.5007469038824012,6.6949,6.78
49,6,7,False,False,,,6.1841,6.67,,,5.859,6.19
49,6,7,False,True,0.5367845777006036,0.6012363039809281,6.7478,6.49,0.3742327716633913,0.3560803192162601,6.9535,7.05
49,6,7,True,False,,,7.9465,7.98,,,7.5374,7.6
49,6,7,True,True,0.5224620736306824,0.4932959075617746,7.4728,7.51,0.3640853712093468,0.3329876768869767,7.0881,7.06
50,7,6,False,False,,,6.3317,6.68,,,6.5033,7.15
50,7,6,False,True,0.8584652474912552,0.4482238280597816,6.4485,7.06,0.6102484459873689,0.4995247293448093,6.2378,6.33
50,7,6,True,False,,,6.6486,6.69,,,6.6975,6.96
50,7,6,True,True,0.7744781767084674,0.3821463905084601,7.1409,7.73,0.7911315775766219,0.4937168534878783,6.8618,6.67
51,6,9,False,False,,,6.0193,6.09,,,5.9864,5.86
