exploration_rate,exploration_decay,choice,mean_final_nmi,std_final_nmi,mean_reward,std_reward
0.8168886085199111,0.26509129253606845,ucb,0.2841001914670776,0.17115964950048637,4.9753750000000005,0.6995119097449306
0.6371650824668226,0.5012494329849568,egreedy,0.2833498076923116,0.18742249322826787,4.698895,0.7715771001494277
0.5133239568443914,0.40033771665425866,egreedy,0.2246306732621293,0.15904725846353768,4.539869999999999,0.7533407516522653
0.6857995605651204,0.15077041548323233,ucb,0.2095430783473123,0.17507472786697184,4.840999999999999,0.7318422473456967
0.9446973442589045,0.10070088917903632,ucb,0.18869641300394327,0.17730529902293415,4.793385000000001,0.7194722157769542
0.655733296916794,0.6504877832741369,egreedy,0.33547009363623714,0.2082586511180544,4.53357,0.6972473198944548
0.12075618023103168,0.5722971417550844,softmax,0.6872998056673338,0.1941436948317836,4.81534,0.5941734463942328
0.14199909222568757,0.9763798695817616,egreedy,0.2957884777352924,0.19557245260052342,5.140615,0.7499147013327583
0.1815457820188953,0.6565473465611777,softmax,0.6549983620762886,0.21825525144948266,4.977085000000001,0.6566190792803694
0.984907698903021,0.5200865572468928,ucb,0.44170140441715056,0.17862823253832047,4.983365,0.6463231577740349
0.1,0.1,softmax,0.6979245700910908,0.20409956672306417,4.83945,0.6168937165347042
0.9999999,0.3292689724156839,softmax,0.6945235984863426,0.1764349033815981,4.968215000000001,0.711234294220266
0.1,0.3433229492110584,softmax,0.7079985396119552,0.20838410551712783,4.946299999999999,0.7344043845185022
0.1,0.22205311823706383,softmax,0.664368884889623,0.20305916432948898,4.98095,0.6739527487146261
0.1,0.4391677565043277,softmax,0.6959699909890538,0.20265045110932628,4.9676800000000005,0.7361472628489494
0.9428944344229507,0.9999999,softmax,0.281618060526681,0.11960471218067827,6.666759999999999,0.6746852395006133
0.9999999,0.46782933693129347,softmax,0.67486421242003,0.18117012897255463,4.96235,0.7111490297398991
0.9999999,0.1,softmax,0.6827032302277155,0.208886635827345,4.87343,0.6525301028305132
0.993943026310798,0.8684362598566165,ucb,0.6782254482529391,0.1814738304102994,6.094695000000001,0.7470287675016271
0.1,0.9999999,ucb,0.7262419444140257,0.17286762126328417,7.314355000000001,0.826184547468058
0.9999999,0.9999999,ucb,0.672528843428909,0.19986416322632733,7.247820000000001,0.8922674445478777
0.1,0.9210932250905634,ucb,0.6963188056464524,0.19332772653542188,5.94817,0.6568022617957402
0.7298565667512752,0.3330089293952894,ucb,0.3076972188983409,0.1442159951785274,4.894315,0.6204743937303134
0.7307914514208613,0.7562657432597342,egreedy,0.4558060233861168,0.20047498098947006,4.73345,0.6661703442063448
0.44435743247122006,0.9999999,ucb,0.6899584178233323,0.1973128670629279,7.28349,0.8267932600717063
0.11520110698229895,0.7862097492343657,ucb,0.5548362638742931,0.16562172883749957,5.26942,0.6786822331548101
0.7141310260648903,0.1,egreedy,0.20936404779306197,0.16406439880397683,4.503855000000001,0.7772222503730833
0.5543786775193325,0.35894193745610004,softmax,0.687754801582924,0.17118088864936637,4.9228250000000005,0.7586910483688337
0.4727689422340402,0.3358811743134136,softmax,0.7317567660711706,0.18650526565494022,4.841060000000001,0.6452050227640822
0.9757527728177674,0.2226616498702863,softmax,0.6523148302067645,0.21093206081033114,4.974185,0.6550415126348864
0.16156066100456312,0.9437048854487126,ucb,0.707914264420708,0.19017952980781386,6.605715,0.7939067302114272
0.12107473232457507,0.7608459822716362,softmax,0.7022234423470526,0.1894797373425416,5.009125,0.6737493613169514
0.9421699938585711,0.796251829902706,softmax,0.7222822658535374,0.1934046510503871,5.011465,0.590271383581315
0.10661060210658052,0.8116908733691304,softmax,0.6816316841961318,0.23259317571433308,4.95868,0.6023057384750705
0.9989643446669955,0.7456823562061322,softmax,0.6853815195968194,0.1705763738477322,5.121935,0.6383886263671995
0.12528961103486574,0.3935252139803642,softmax,0.7062783201517534,0.21810923202600196,4.918449999999999,0.5618866322488906
0.9829901406469986,0.9454183807226717,ucb,0.70212035297113,0.1993077294402139,7.251389999999999,0.7069855004878105
0.15460788246133425,0.5267338842254695,softmax,0.7033419662300759,0.19061814200956098,4.94229,0.5763777415029141
0.111707775328021,0.30153192858925937,softmax,0.7150606261812493,0.1939073150181291,4.983334999999999,0.6587396718545194
0.10371892590228156,0.303055665728147,softmax,0.7060734603504055,0.1736385540353346,4.820795,0.6469900118819456
0.980214990651694,0.8223466308929822,softmax,0.6946301334462299,0.18700208977539884,4.87816,0.639959029469856
0.9895357218971997,0.5626545640547257,softmax,0.6889453146049402,0.17822841371105974,4.862415,0.7228591116358705
0.11856531988357444,0.14521904107133743,softmax,0.7276804170900438,0.18723675924357935,4.92402,0.6452664214105674
0.1,0.1442101011050402,softmax,0.7037010140475631,0.19890690666850816,4.93763,0.6171880330174913
0.10079170780809851,0.9583315288154731,ucb,0.6889297886093693,0.18402815148928045,6.80891,0.8273805665472208
