exploration_rate,exploration_decay,min_exploration_rate,gamma,mean_final_nmi,std_final_nmi,mean_reward,std_reward
0.8474072401451748,0.7958586974665409,0.03898455001363848,0.9596850157946487,0.3652740184135878,0.2259539980334956,0.7080150000000001,0.13774783945674066
0.5843745646401934,0.7749937289545007,0.022962444598293365,0.9333708611139022,0.3689894069634099,0.23559014651678425,0.7232425,0.14741015040949518
0.35715011344145564,0.9127221182372133,0.0028205789513550137,0.9721998772266824,0.28379137072729577,0.22735124271491836,0.6048325,0.11837355360784774
0.9539145317618127,0.7501946914602536,0.04961057796456089,0.9617481509627717,0.3277833209462673,0.23122421415887223,0.6854825,0.14105348610987958
0.7087398703662108,0.7517665763049294,0.001153121252070788,0.9524774660258389,0.2217322601952683,0.18992911664316203,0.48875500000000005,0.12089262787697189
0.5498957287864417,0.7616664158034039,0.04868777594207297,0.9232771340430305,0.33604328362874697,0.2435275179140388,0.6876325,0.1425334213219833
0.3179548258996156,0.9045965023332718,0.019123099563358142,0.9983230885806789,0.3544751803832426,0.23546994324186538,0.722225,0.1580614022302725
0.600072169935985,0.9649851016840802,0.03401537692938899,0.9450499251969543,0.40668440051651883,0.26569904043728393,0.7252974999999999,0.15661634730688234
0.2599487208698999,0.9855504389212133,0.028164410892276972,0.9385416502539916,0.37010005865858103,0.26608501306253596,0.70899,0.1516295729730846
0.26197468916516065,0.8077234564055372,0.01205127330130059,0.9683263518825458,0.35085222292009577,0.2390330647550441,0.724405,0.1621634313740308
0.25,1.0,0.039760357428090726,0.9090998155339104,0.18061124026909667,0.131517586574477,0.5524475,0.08797988971208136
0.8662372770631925,0.9175277176985477,0.028556369988061388,0.9549901931860337,0.33170936500707154,0.23989407607376445,0.69025,0.14662333545517234
0.339719800427423,0.8152841588521732,0.04226987987608691,0.9659776174930574,0.34670558791084427,0.24858567978981347,0.691125,0.1485261824561582
0.2635154300947105,0.8831595808805244,0.03945770888434953,0.9429735385187237,0.33514055173200424,0.23168018845527338,0.70041,0.14511019743629322
0.40587851665156066,0.8459434334224682,0.03442964033083311,0.9556535120789131,0.3444113318464182,0.23174595656740868,0.7052799999999999,0.1406632293813845
0.926196133906795,0.8694909787632827,0.01955028756125657,0.9786014104637949,0.3664255480811222,0.24263230503943764,0.721985,0.15395995347816913
0.9233973149442465,0.9535000877694085,0.03109767359607792,0.9982076605223713,0.39131743834298677,0.2745271347327263,0.7128675,0.16077419318332775
0.7557408540062395,1.0,0.032406728248543806,0.9004325814398503,0.016602076105210414,0.012646796651657478,0.324865,0.013476155794587713
0.25,1.0,0.05,1.0,0.1625012628420645,0.13462740131673817,0.5495675,0.09030312394236426
0.8571926227417273,0.9810272012682568,0.029706665380011966,0.9851729002107777,0.41336914221632215,0.2879719140640746,0.7179499999999999,0.15557449180376584
0.770187708038441,0.9905768697714096,0.0,1.0,0.47699084813352405,0.326320549520575,0.6832825,0.15721494503942682
1.0,0.75,0.0,1.0,0.06480191031897123,0.1674324691740525,0.2903175,0.06855527290989366
1.0,1.0,0.01184202519558168,1.0,8.144855433348977e-05,7.996032996872712e-05,0.2500075,0.010191476524527744
0.70208586375113,0.989121078210242,0.005131246224492575,0.9266656868250307,0.48673627096347877,0.33957231817158395,0.7491275000000001,0.17489958545905704
0.9974055208239598,0.9884630518655511,0.0,0.9632325828328319,0.48730487627285385,0.33487176954134695,0.6812424999999999,0.15930422920861204
0.9565844285202608,0.9892403591888819,0.02226185238435019,0.9975394128386833,0.4387108532814784,0.3367524894284199,0.7398375,0.1822793044855888
0.8792849354795509,0.9858105789916345,0.0,0.9804001394817492,0.4697561565565278,0.3501884554290003,0.6334424999999999,0.1589067979784062
0.809251837294505,0.9725584990388871,0.018144230907739745,0.9779963371234142,0.4157453857283449,0.2878063804562973,0.7268825,0.16015369943822716
0.8173284934019963,0.9885255124810517,0.0,0.9802422670385873,0.48200205620499587,0.330627011027236,0.6675200000000001,0.15341737874178402
0.31018591006399937,0.9902713085534383,0.0,0.9292058003728997,0.4591137668377183,0.33109504158552633,0.5253425,0.1326368969923151
0.25,0.9708936305644973,0.05,0.9101184863783576,0.31097714561903894,0.23913895851354003,0.6764375000000001,0.1502262704847258
1.0,0.9775687815357678,0.0,0.9587139325643295,0.43553357223016476,0.3304403727795617,0.5565525000000001,0.13117691677177812
1.0,0.9613739667929482,0.0,0.9906785578312287,0.44849043175509534,0.3145014446668913,0.4614749999999999,0.13193606169277602
1.0,1.0,0.00026513715135573337,0.9649362129784056,6.872646015039021e-05,6.442788666122147e-05,0.2499425,0.00971097027850462
0.3739877889115464,0.9589466483968666,0.0,0.950678842741436,0.3451985655056957,0.31732493823581254,0.34802999999999995,0.09895403781554343
1.0,0.9667872776158185,0.0,0.9119056640873445,0.515240969649234,0.3484411459707016,0.49170249999999993,0.1373072020825929
1.0,0.9666855464915075,0.02643826131300809,0.9864102767768609,0.4041346946286467,0.3117201439925111,0.7163425000000001,0.16971924299781094
0.6895797906123566,0.966921084023856,0.0,0.9272395464274877,0.4529533822070681,0.34216623092166826,0.4391824999999999,0.1291325983001581
1.0,0.942831515914903,0.05,0.9509040166065241,0.35550097805621095,0.27438218192839653,0.6989350000000001,0.15786734391570664
0.25,0.7859986979763683,0.0,0.9971969240344268,0.027289395241506878,0.11302120506834733,0.264105,0.04053947428124839
0.25,0.859460287544196,0.0,0.9325518188181735,0.0422599429071959,0.13850169645657195,0.2681675,0.048461564086913246
0.5899948847813055,0.8334742338641247,0.046755356467597445,0.9646058859339269,0.33013467355484194,0.24536012562969944,0.686605,0.14766613178044585
1.0,0.9695855695007407,0.0,0.9432143619279207,0.4922304795884828,0.32383296498883074,0.4972925,0.14486842545478984
1.0,0.89453409621394,0.0,0.962321863523721,0.23961527220384896,0.2824457605512723,0.3309524999999999,0.10540947060748385
0.25,0.9324738410725134,0.0,0.9161630772252934,0.1450156320563777,0.24009677057683443,0.304145,0.07885726963952024
1.0,0.8043633327745384,0.05,0.9452930855323082,0.3481553287027966,0.22651648158291124,0.7001075,0.13823584807766037
1.0,0.8765768605368994,0.05,0.9850326130471005,0.3752813713154511,0.23857612350166746,0.715755,0.14123720287162303
1.0,0.8228908843032006,0.0,0.9263313574597231,0.11253340593528777,0.22914300468577709,0.29721,0.07027859489204377
0.25,0.7523720079668613,0.05,0.9026191287209508,0.305999680006817,0.22033833606748576,0.6729900000000001,0.12691638940656957
1.0,0.7687918137429461,0.0,0.9038625292033681,0.09733394264399287,0.19759207853518,0.279245,0.06775409563266267
0.25,0.9489800551902268,0.05,0.9419274705308711,0.32681204625474874,0.22001188914098901,0.6858474999999999,0.13117557125375895
0.25,0.8754569303131274,0.0,0.9882328798230242,0.08459556173903646,0.18680815099070558,0.2769375,0.0544361538295093
0.25,0.7712830492634274,0.05,0.9388701479675766,0.2946779200494109,0.22553018195093827,0.66681,0.13875391489972452
0.25,0.8940760508132488,0.05,0.9178490446189593,0.32797307973786954,0.2203033153300875,0.6856949999999999,0.13302582258719545
1.0,0.8443444100701067,0.05,0.9232063213628708,0.3656048210932802,0.2385193968966916,0.7074799999999999,0.1418468614386656
1.0,0.9071628797082151,0.05,0.9078584601769424,0.3381087558678364,0.2352453132269374,0.6883750000000001,0.1413035805455757
1.0,0.7804688993991018,0.05,0.9105742102275689,0.34488510495978547,0.24800461531785323,0.6958950000000002,0.15010149557882493
0.25,0.8381282287741151,0.0,0.9853813172738387,0.062298917134003665,0.1720764023804422,0.2682775,0.04663385834080212
1.0,0.8616778241571528,0.05,0.9972426123074205,0.3571221251738285,0.23129576035001334,0.7047825,0.14282768969548587
0.25,0.8031837196311217,0.05,0.9067383017978601,0.30659777618740597,0.24046455310277323,0.6813775000000001,0.1499428599292077
0.25,0.9784479360739803,0.0,0.9103503917511867,0.39848544012780307,0.3000765482800929,0.3910375,0.09901546517463825
1.0,0.9462921133490306,0.0,0.9212356335552252,0.38575773529618096,0.3480165500040219,0.41105,0.12420375396903267
1.0,0.8016242333701961,0.0,0.9263020100660375,0.12272132886468289,0.21505130672577782,0.3020825,0.07925576915121069
0.25,0.9122380027316963,0.05,0.9953388376600595,0.30466926106060543,0.22016223483967695,0.6773325,0.1311266875725533
1.0,0.9287472413343343,0.05,0.9929205815864317,0.35115513800511927,0.244304498968152,0.6912699999999999,0.13974769085748787
1.0,0.8889276304155945,0.05,0.917585415508901,0.33882663863102136,0.2447970935767757,0.70021,0.15071259370072562
0.8457496963763336,0.9586100073059795,0.005541329183013804,0.9116467356366493,0.4021044371370548,0.2882695848763779,0.7082075,0.16072647010915783
0.25,0.7607797297759379,0.0,0.9897661766452774,0.017476539970406747,0.09163356340403223,0.2630625,0.03916899084416141
0.4785128427727224,0.9862348671722243,0.0,0.9549774994001557,0.5093517025555624,0.329605940782027,0.56001,0.1360782583662798
1.0,0.8530176598623725,0.0,0.9843673341692247,0.16461701767966835,0.24580083240668665,0.312955,0.08058421355948074
0.7468108624954717,0.7722274099878447,0.05,0.9894732784463569,0.33656161082782887,0.2508527782170441,0.6923775000000001,0.15023491186721546
0.5344118011227177,0.9887448272595164,0.0,0.9164137850591854,0.48333934763463426,0.33483181058370803,0.595005,0.13938827057898381
0.25,0.9852037340700392,0.0,0.9587018577218599,0.48975289008578465,0.3450655870355049,0.4470425,0.12715134463996045
0.25,0.8697741579150968,0.05,0.9177452156260701,0.31393168819005496,0.2003088412400189,0.6809100000000001,0.1271695104968168
1.0,0.9595067196035995,0.05,0.9036575341353138,0.34246256207920306,0.275493693851249,0.6929825,0.1616427494314236
0.25,0.8522704485601832,0.05,0.9036502691116742,0.3208684298719641,0.24373960700071584,0.68183,0.1453622495698247
0.25,0.959337563287692,0.05,0.9131381793309955,0.2932653472137056,0.22350986764019115,0.67437,0.13607475188292648
0.25,0.935057996004117,0.05,0.9557920530027146,0.3072846104424315,0.2388903698959727,0.6757949999999999,0.14503616092202662
0.25,0.7869302949936441,0.05,0.9263177809625697,0.3172592356522972,0.22403349080158594,0.6768700000000001,0.13661260227372876
1.0,0.9850724617848967,0.00982797967051114,0.9613306017819023,0.45856060157416123,0.3092934605807253,0.74458,0.1634262634951922
1.0,0.8211026608369989,0.05,0.9036274501531153,0.3231504152042172,0.23347376629436198,0.6839925,0.13935134083944078
0.25,0.8413380787478704,0.05,0.9235407576384983,0.3281439882819055,0.24245067231433884,0.68732,0.14638609086931723
0.25,0.986677304422702,0.007511582362600255,0.9832569292527806,0.38388595761250904,0.28065612691577857,0.7214275000000001,0.16902167314800193
1.0,0.9840499271932344,0.05,0.916733168024834,0.42771566674208955,0.2846399421039762,0.735415,0.16011672390790413
1.0,0.9853234526590063,0.0,0.923144857481825,0.4813393328298065,0.3657136820050701,0.64177,0.15845334360624896
1.0,0.9666516193603416,0.00865926530009952,0.9235628229581518,0.45742940518753267,0.31106513749987263,0.7485599999999999,0.17199469148784796
1.0,0.9854784532274599,0.0,0.9224765134031746,0.4782114528646477,0.34808682774448235,0.6502450000000001,0.15671632804210286
1.0,0.943863388701939,0.024128534671638717,0.9009800184903182,0.4297972652960756,0.2605525293284578,0.7382425,0.15843418963011108
1.0,0.970321092247004,0.0,0.983071685359049,0.49555841352820024,0.3346041457605142,0.5245725,0.12945123017472643
1.0,0.9747303459371779,0.05,0.9363838931711073,0.37948601502195173,0.2914624174113863,0.7008775,0.1673704610848342
1.0,0.8094707423288517,0.029061468466987553,0.9947100457395193,0.4013277470092597,0.2547268987013172,0.7356024999999999,0.16230303676687627
1.0,0.8584639118454618,0.031386403999908774,0.9689640629850659,0.3643840281345449,0.24386084265209562,0.7138825,0.14973226921325275
1.0,0.9700003232571703,0.0,0.9082396426744033,0.4523161324754532,0.3372835548777223,0.5160899999999999,0.13131149759255661
1.0,0.8962992404647913,0.029996713850386075,0.9089275963738415,0.3589128067006808,0.27527698168646597,0.7134225000000001,0.16191067828821543
1.0,0.9853661414921167,0.0,0.9160231433401875,0.47708601137820184,0.3174305178536389,0.6601775000000001,0.13782837060543812
1.0,0.9355560036987112,0.029137919441284327,0.942861191598725,0.40332925943494646,0.2761464231316782,0.7313199999999999,0.16831298256521984
1.0,0.875672644830575,0.031780352278871236,0.9260695759132098,0.3633601195766214,0.2573490051524671,0.71502,0.15923976293627165
0.25,0.9862313253065024,0.05,0.9895048374553195,0.35175840793576446,0.2534041091067221,0.6965175000000001,0.15056866687246057
1.0,0.7662503030405488,0.03224389172953384,0.9184171029495577,0.35801677441564245,0.248481334562004,0.70214,0.14817030033039685
1.0,0.7827185792707697,0.03112481850011415,0.9892173900989556,0.37559420648875713,0.2350915567661493,0.720925,0.14480936390648225
1.0,0.9843244169421052,0.0,0.9960330638076851,0.49706378133472706,0.3228523005403767,0.6340100000000001,0.15108783008568227
0.2711290695890528,0.75,0.027787083731539836,0.94195929762539,0.34952778444381466,0.2331675689049565,0.7083725,0.14853426370285747
0.25,0.986786403510962,0.0,0.9874409987670605,0.42750678708117784,0.34821390779261485,0.44223,0.11495492420944828
1.0,0.951127184788657,0.015731477211241327,0.9085259806242366,0.4413387366460141,0.27925893213163955,0.7515025,0.15734445889115384
1.0,0.9833113956667815,0.01149431588547883,0.9094810343150016,0.4164370149935661,0.3116806463879705,0.7195824999999999,0.16823586699556667
0.29782874013566063,0.9458297750653787,0.020343160141721876,0.9271267621612039,0.3378590451050513,0.25246594974176473,0.701755,0.15888443905870706
1.0,0.962020392170438,0.0160378993487278,0.9334547307140174,0.4102391393394001,0.30298799825073036,0.7254474999999999,0.1653355179438163
0.27193468671488263,0.8035407073159657,0.030190927364538652,0.9993110416077148,0.35368344762388687,0.21413680484040584,0.7112,0.1352894212420173
0.2662108390211462,0.8194304642839344,0.026611370103565454,0.9746048600403032,0.3522773210840835,0.22371069573550256,0.71561,0.13989455100181708
0.9805353895495927,0.9713234298930077,0.00011788291902024563,0.9251239412463759,0.4613719041210288,0.354632345727677,0.54301,0.13444114846281255
0.9877670227465276,0.9077510218964315,0.022171725702120528,0.9106663290227004,0.37303355644700514,0.2624995930569217,0.7261850000000001,0.16092522572611168
1.0,0.9863514730233983,0.0,0.9570469310290752,0.4799952049203191,0.3495917450486023,0.65262,0.15489812168002554
0.9782900959130418,0.8320040241410714,0.02914642169905133,0.9913226771925754,0.3370833043341339,0.22948752448319626,0.7097550000000001,0.1418788390670011
0.977988126044308,0.9841316878620394,0.00034541125500857275,0.9595118146616742,0.4284187613918115,0.3335098526108633,0.6474950000000002,0.14734711559782906
0.27571280782131435,0.9702818877146201,0.0007785039529326274,0.9995765103074223,0.37656865134870005,0.2806425185105994,0.48969250000000003,0.1276700109412935
0.9630304226269628,0.9637830812561712,0.0005978503672089754,0.9958090647362023,0.4722005914015232,0.3057511244554235,0.56864,0.1414421980881236
0.9882795940276031,0.9548299525418433,0.0005845192994868744,0.9198450061846696,0.4484697046482509,0.3078200318571013,0.5193325,0.1309899354673862
0.9698834816399066,0.7562876604673582,0.031588950914048,0.9541645212540758,0.35197417616152693,0.2294641613924707,0.7121100000000001,0.14181685513365466
0.9803139251501171,0.9648092491100447,0.00021538313291206708,0.93652377366788,0.44470093413128375,0.3445555737286509,0.515325,0.13436246453157966
0.9916275566471742,0.9869607203523728,0.03820875745209853,0.9019214402635403,0.4295742765283407,0.2848814433153087,0.734615,0.15426104263552737
0.995607247043576,0.9100097216458543,0.00024159958050221648,0.9286334893978375,0.2811057813184286,0.3034498042002769,0.40220500000000003,0.10952034274508093
0.9982095504183234,0.989026615831401,0.04999318398671503,0.9340526730308736,0.3593499344608351,0.2745873508273073,0.695625,0.15237499589827722
0.995360857224393,0.9776088268775522,0.030977470583453206,0.9137422846347493,0.43715217189049765,0.29357226232625233,0.7380525,0.1604746973630111
0.989745130070122,0.944032235086298,0.034415097279555724,0.9862981040168977,0.37968741945468215,0.25948286754914535,0.7130424999999999,0.14910693123979848
0.9723526862156171,0.8846313489028552,0.02400290466931942,0.9944539823625529,0.36307918373347875,0.2426236967391467,0.7229375,0.1525904480750679
0.9931700248991283,0.8460911925258081,0.030916071636984278,0.9018299866923619,0.3668888798801801,0.24806223749925216,0.7178725,0.14708523037256324
0.9971065839362507,0.815867499741417,0.024568104945391845,0.9659611288902341,0.31947581059862074,0.25526115136041266,0.6949000000000001,0.15816660519844256
0.9982973039136176,0.9291173982204164,0.02578550772081439,0.9356647911656981,0.3461799292724357,0.2617704721084632,0.6971675,0.15829569069861
0.2527838528968954,0.8950443223190228,0.01948115093139835,0.9877256941827703,0.3622857806313726,0.24443212225557806,0.7234999999999999,0.15173049298015212
0.9751894833522776,0.9729733302746476,0.0005398546939581196,0.9964384862301762,0.45260192113738457,0.324794088287392,0.586845,0.15541502815043337
0.99203859133582,0.792702598652849,0.049050652736657735,0.9174392583327289,0.34740070733714107,0.22505396839044348,0.7028025,0.13714323623040983
0.25679767358327865,0.9035469580045536,0.03645837668563732,0.99036734310179,0.32716017917133583,0.22907621731016609,0.6876124999999998,0.14009928120354506
0.9475719926930838,0.9875909001016571,0.00020326736098669757,0.9040612031267797,0.5256443253958212,0.33705294927801543,0.6915025,0.15969714694931153
0.9744297796522818,0.9218372735678686,0.04953939706273548,0.9947865516266649,0.3757198962786555,0.2708522680398614,0.7125524999999999,0.15508859079168266
0.9908671630025816,0.866886502407368,0.033858239492114924,0.9901211047146736,0.3547963821130405,0.24191831869238561,0.7109825000000001,0.15123940770761435
0.26127304553142194,0.7788395088606003,0.03572277393007308,0.98959651781186,0.35040800967116675,0.22943487243011906,0.7027249999999999,0.13857991151317708
0.992406961946808,0.9537157734535942,0.00019947177357573236,0.9030339810211965,0.42905419722407656,0.32852492329195915,0.46688,0.12120209610398658
0.27758242594621935,0.9261263376135308,0.03592275309796946,0.990586582912526,0.3401719907231231,0.25695903665478553,0.7005625000000001,0.15407099773724448
0.990950270541642,0.7927000276673631,0.026039981269867358,0.9812883147778756,0.37586738535026726,0.2606574172359267,0.726605,0.1580032799501327
0.9989341230818128,0.9727306442361812,0.03090513202555266,0.9399793433451175,0.42968012523180676,0.28357615371857126,0.7301875,0.15714745016623716
0.9983678692145117,0.9558108249282997,0.020118305401376824,0.9045532951616604,0.4226746693115716,0.2613962369022704,0.7312175000000001,0.1520294097987294
0.26174432441798634,0.9851047888821782,0.00013112750988887316,0.912779316220045,0.43165770453887603,0.3290756119976126,0.4688925,0.13261655135672168
0.9912344312719348,0.9803859906907425,0.04018229393722364,0.9697922223701878,0.3946652982106684,0.30142945373326185,0.7135024999999999,0.16777562023056267
0.9868281350100376,0.9795193944620044,0.0007900314132316734,0.9904792096787148,0.4696979606488164,0.32744551937957417,0.6406325000000002,0.1525478570604976
0.9830243795892148,0.9850674031076282,0.015533410892369507,0.9157980951051733,0.47485633355937934,0.3161237735388638,0.7522199999999999,0.16833403280382728
0.9972102816649508,0.9760396233376848,0.01157131645904274,0.917728062082992,0.40753396285920684,0.3095620038114537,0.7152425,0.1645855171142042
0.9868239160243905,0.9886889659269851,0.0006450416945206375,0.9580850962917581,0.4579361364203609,0.3216057491433261,0.701705,0.1540688660145196
0.9947554540691985,0.9409723656683271,0.013279428935005715,0.9268391924554906,0.4052614144370328,0.26704536809732793,0.7340799999999998,0.15982878683140905
0.695509863352194,0.9824403503392973,0.00017582033288924355,0.9001618340118853,0.48455700742571345,0.34375877633969004,0.5838625000000001,0.14606855357588094
