iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Signal_Cost_A0,Signal_Cost_A1,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,True,0.2572695769485949,0.2572695769485949,0.14360914412015938,0.9633093790329942,0.8642021262871951,0.8739379072951885,0.164616762698982,0.9646700363334582,0.8627560445140443,0.8970921692205621
1,2,4,False,True,0.41318788840486437,0.41318788840486437,0.14331374684887024,0.000819091725571043,0.4880632822953748,0.52,0.1357828954255219,0.0003120001441331169,0.49926152717174893,0.57
2,2,4,False,True,0.193087470184794,0.193087470184794,0.16657930397332063,0.9516069768668456,0.8946087074612702,0.8957327661002112,0.25510216315155587,0.9490931516050796,0.8916487537977343,0.8976636408020591
3,2,4,False,True,0.21850617557717228,0.21850617557717228,0.11017962444740168,0.6843081448447309,0.8391344284009652,0.8863767886998705,0.11087438014089501,0.7234897062111199,0.8340822543162141,0.8732664181652402
4,2,4,False,True,0.4776201704349262,0.4776201704349262,0.09340727895348726,0.9411093954465786,0.7478988667143629,0.7182040994433934,0.12080903316561535,0.9317212365745935,0.7516899699244508,0.7850709233042832
5,2,4,False,True,0.40067679435193126,0.40067679435193126,0.050967677793008814,0.0002062806863613631,0.4988329613387399,0.54,0.1293666004902396,0.0004248541079295042,0.4946733674153511,0.46
6,2,4,False,True,0.20076211300811797,0.20076211300811797,0.05076633664871692,0.8193101008519049,0.875152356684884,0.9056418068861845,0.048910611847939524,0.8798357296089929,0.7763467710748899,0.7992378869918819
7,2,4,False,True,0.32939491200666976,0.32939491200666976,0.07589691337321193,0.8778213668104639,0.8150083083807118,0.8517722895969986,0.09720454056900582,0.8636618148452009,0.8156377032927185,0.8287146457565318
8,2,4,False,True,0.37413399064484937,0.37413399064484937,0.0664261868560723,0.9330709536923141,0.8022152220205088,0.8166743445840237,0.07676939424869525,0.9210306723230702,0.8002152220205087,0.7904849652388845
9,2,4,False,True,0.477905289221981,0.477905289221981,0.08913519130835135,0.0008447018065914787,0.48828641340532486,0.42,0.1355733952286403,0.0008809738073027778,0.488917346000414,0.58
10,2,4,False,True,0.15388417939849153,0.15388417939849153,0.050967677793008814,0.9665750034262572,0.9147268368655663,0.9138248595368448,0.12987722947992045,0.9545229427848304,0.915688835436288,0.926135593888724
11,2,4,False,True,0.41522546615673667,0.41522546615673667,0.1625596967539127,0.8734260600481647,0.7712921157441167,0.7716259936137948,0.11472279622147404,0.8795381718918287,0.7737443704056842,0.8173007948910357
12,2,4,False,True,0.02260467883363393,0.02260467883363393,0.08933653245264328,0.9684794019227162,0.9701631352028669,0.9773953211663663,0.14690697757825855,0.9658650648058099,0.9818512695838962,0.9884716137948467
13,2,4,False,True,0.38274848023470603,0.38274848023470603,0.14473873441764482,0.7507347929694093,0.760760231538885,0.823935699092035,0.21923803901018685,0.7399561397903365,0.759786108818533,0.7818333662662174
14,2,4,False,True,0.4366738152222783,0.4366738152222783,0.11087438014089501,0.0003093533748405469,0.4934699356629995,0.51,0.14164751381469162,0.0004427522219421991,0.486428912072766,0.55
15,2,4,False,True,0.16526550413925578,0.16526550413925578,0.08913519130835137,0.952814205304368,0.9095680886278886,0.925630523137335,0.1947217566751465,0.9676321400632204,0.9095168275816137,0.9289358332201201
16,2,4,False,True,0.17033217221884311,0.17033217221884311,0.14202273377285388,0.9501431271461008,0.906000408665563,0.9114272704462013,0.08773649469620162,0.9509399279973476,0.9037185187672593,0.9080206270018246
17,2,4,False,True,0.21543950349314178,0.21543950349314178,0.09741404076588744,0.9543442893747498,0.7746457705487757,0.784560496506858,0.15614928057335226,0.9297530770119836,0.8811420062674015,0.8793538780438404
18,2,4,False,True,0.26180463156716743,0.26180463156716743,0.08537099939822673,0.8939270412755645,0.8564226030373193,0.853389406322386,0.06152393689934166,0.8945027582842154,0.8543659408057969,0.8507713600067145
19,2,4,False,True,0.45606733451429843,0.45606733451429843,0.05709549023892211,5.8627750843319776e-05,0.48677447278724556,0.58,0.1966842979494851,0.0019016712111629515,0.48114476505202275,0.42
20,2,4,False,True,0.15596261957452295,0.15596261957452295,0.16657930397332063,0.9555813982201142,0.912424193023632,0.9266975687999741,0.2017402626927498,0.9592155018043023,0.9125407089029511,0.9282571949957193
21,2,4,False,True,0.09718638502968419,0.09718638502968419,0.1947217566751465,0.959816663309281,0.9426418486583938,0.9552942628863454,0.05709549023892211,0.9658519251933407,0.9434817429782113,0.9407163051318926
22,2,4,False,True,0.21399055470077682,0.21399055470077682,0.14537081279393954,0.952330972073184,0.7751481111759742,0.7860094452992235,0.24531426165489384,0.920136186131937,0.8817520366973888,0.8844451004615805
23,2,4,False,True,0.34709147714660915,0.34709147714660915,0.050967677793008814,0.937463682955567,0.8091411308592451,0.8160415171122972,0.0505568364518353,0.9229643236505146,0.8147649541535645,0.8229833466552294
24,2,4,False,True,0.07703079210825703,0.07703079210825703,0.04936764003656718,0.9721083949958406,0.9542837637674271,0.9645658356302017,0.17159530757127503,0.9789541050658653,0.9166080033472787,0.9229692078917427
25,2,4,False,True,0.020457901060890293,0.020457901060890293,0.050967677793008814,0.9541507408570553,0.9723850605313376,0.9795420989391096,0.08371316365982343,0.950154496760787,0.9808667141741444,0.9891573124377281
26,2,4,False,True,0.17670957152433414,0.17670957152433414,0.08913519130835137,0.5719058563392321,0.8131016822748889,0.9063439270921029,0.158532971897996,0.5497811802705205,0.8185844175893279,0.9010426399463729
27,2,4,False,True,0.376143903101474,0.376143903101474,0.09926160651407512,0.0012565416760752677,0.4861624170658838,0.46,0.1091652220046206,2.1270490032223297e-05,0.49780829901471846,0.45
28,2,4,False,True,0.13274623767620852,0.13274623767620852,0.11632744532359784,0.03569572968541391,0.5785660157756854,0.46,0.05076633664871692,0.04617906687243812,0.5406598187855444,0.49
29,2,4,False,True,0.1375676503673925,0.1375676503673925,0.10096033518335516,0.8607194746837281,0.8975288777674059,0.9284648218089561,0.12836208939548324,0.8408771801516702,0.9072008516263369,0.943597263349369
30,2,4,False,True,0.058044253616745534,0.058044253616745534,0.2798434756905271,0.9441398801621044,0.9581430466394569,0.9715583157277945,0.04936764003656718,0.9184200490106719,0.9616158546314558,0.9727192008001296
31,2,4,False,True,0.014964351165193956,0.014964351165193956,0.0,0.9319719892755295,0.9775834064097231,0.9929667549523589,0.05076633664871692,0.9355683370640775,0.977665449188325,0.992667467929055
32,2,4,False,True,0.17644419139564793,0.17644419139564793,0.078168090860845,0.9388983117437781,0.8987249710447573,0.9258934396138279,0.14559746095054282,0.9358378423439917,0.901166126397874,0.9064845785603066
33,2,4,False,True,0.31783110553299443,0.31783110553299443,0.13515794254178462,0.0013347299604241202,0.4966844623365736,0.52,0.10890927603159586,0.00109831677271333,0.4762084872461015,0.45
34,2,4,False,True,0.10962077977150442,0.10962077977150442,0.12286609911068465,0.9659505913215009,0.9376265202427964,0.946285817911963,0.14212455043360211,0.9668910444177787,0.9377390553113111,0.9473820257096779
35,2,4,False,True,0.0541979612809213,0.0541979612809213,0.1781920776001405,0.6682501441143414,0.9427257980557541,0.9783208154876314,0.06543666453538205,0.6223583955152019,0.8941614834164244,0.9729010193595394
36,2,4,False,True,0.3281491457106855,0.3281491457106855,0.07795859066396338,0.8138577275830349,0.8110244900185639,0.8326439356875504,0.13596965382098727,0.8212191724510505,0.8109353768125714,0.8392069186017639
37,2,4,False,True,0.4185887613330365,0.4185887613330365,0.12080903316561535,6.082946893947637e-05,0.4909978301389363,0.57,0.11738290647743103,0.00020025554113227128,0.49691180587307,0.59
38,2,4,False,True,0.3803906592051713,0.3803906592051713,0.06259148052372072,0.00023781127204980387,0.4951102106057098,0.48,0.14537081279393954,1.1436547057766068e-05,0.4880004059353124,0.52
39,2,4,False,True,0.22409164280461802,0.22409164280461802,0.1355733952286403,0.9156390667526266,0.873591998540422,0.8834723457415987,0.0505568364518353,0.9231412076929567,0.8746124567544452,0.8677859307452752
40,2,4,False,True,0.08658815715516827,0.08658815715516827,0.16452223802825133,0.9663628952673782,0.9057919834977716,0.9134118428448322,0.1966842979494851,0.9623028455159469,0.9043621012620388,0.9134118428448322
41,2,4,False,True,0.10595466770443668,0.10595466770443668,0.10698244460124406,0.9311761901525429,0.9360100576192223,0.9459631194707373,0.1781920776001405,0.9452831333844778,0.8812307107052147,0.8940453322955635
42,2,4,False,True,0.15666732737748473,0.15666732737748473,0.05006931941147622,0.9485712348812289,0.913938670371373,0.9216663363112575,0.05810989268170319,0.9588686691055347,0.9136230036386352,0.9122662966686086
43,2,4,False,True,0.4023958523420286,0.4023958523420286,0.078168090860845,0.8990873998749375,0.7876626781591273,0.7947781153055656,0.05545908640856593,0.8904018025079959,0.7773108133229782,0.7907541567821454
44,2,4,False,True,0.135286068919735,0.135286068919735,0.06259148052372072,0.9682827714629297,0.9263392540914905,0.9174754979589617,0.1835508629233216,0.9610859231175282,0.924639949374858,0.9404741296753167
45,2,4,False,True,0.03945089438585492,0.03945089438585492,0.20886786315830128,0.9819359393364521,0.9547556230289871,0.9605491056141453,0.08121461601679823,0.9738338481732499,0.9543240623134783,0.9605491056141453
46,2,4,False,True,0.17943488978001193,0.17943488978001193,0.09340727895348726,0.979261182341162,0.9026394150578859,0.9084882062121938,0.09098275705653905,0.970511617480559,0.90565392120619,0.9048995084165936
47,2,4,False,True,0.11292630709880747,0.11292630709880747,0.10947568352874529,0.9641058659694585,0.8804237644531991,0.8870736929011929,0.048910611847939524,0.9751220079439633,0.9375968631649488,0.9491831618055367
48,2,4,False,True,0.475708930001886,0.475708930001886,0.09577480642268124,0.0004544821758957918,0.49215161588098433,0.5,0.1966842979494851,0.0006315888335407804,0.49695161588098435,0.54
49,2,4,False,True,0.1219357620745316,0.1219357620745316,0.13091368907772255,0.9576032927318231,0.9322247647917129,0.9439095494457154,0.04936764003656718,0.9590055690986289,0.9319759904868832,0.9414708342042247
50,2,4,False,True,0.18682040923334925,0.18682040923334925,0.05076633664871692,0.9730156579957178,0.8999150672196321,0.9103262035679924,0.1611299626075881,0.9727386282403299,0.8996722006876289,0.8953805708293245
51,2,4,False,True,0.2710691270433806,0.2710691270433806,0.06259148052372072,0.8825875843244204,0.8461497129864832,0.8617547452078759,0.1091652220046206,0.8816415185767602,0.8475419774861098,0.8617547452078759
