iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Signal_Cost_A0,Signal_Cost_A1,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,True,0.3972430034262774,0.3972430034262774,0.23196785929954267,0.18911389243275742,0.20775699657372257,0.18275699657372266,0.23953087518740374,0.12766844945479383,0.2674569965737226,0.26275699657372265
1,2,4,False,True,0.2997962872262442,0.2997962872262442,0.26887148801887606,0.13188364563342256,0.3029037127737558,0.3902037127737558,0.3917816182568433,0.106013007568495,0.2971037127737558,0.35020371277375584
2,2,4,False,True,0.4893790142391647,0.4893790142391647,0.6618398629770283,0.5407095086345339,0.3344209857608352,0.4306209857608353,0.25879142545595635,0.4111641195948392,0.40472098576083515,0.46062098576083527
3,2,4,False,True,0.14309923598080793,0.14309923598080793,0.05274126326545472,0.3596173471713104,0.3877007640191921,0.3369007640191922,0.3832952808379029,0.013200645360993827,0.6271007640191921,0.686900764019192
4,2,4,False,True,0.31956696410915086,0.31956696410915086,0.09404294766539874,7.341442492827984e-05,0.35523303589084915,0.3404330358908492,0.0495871379676402,0.21390793835035826,0.17823303589084918,0.1704330358908492
5,2,4,False,True,0.1339909480946292,0.1339909480946292,0.44379959139842695,0.2962812143782261,0.3979090519053708,0.42600905190537086,0.03393600196562976,0.015961257071837768,0.5984090519053709,0.5560090519053709
6,2,4,False,True,0.21823707309838364,0.21823707309838364,0.2598965004072019,0.00026730441789017066,0.3099629269016164,0.22176292690161645,0.15338493183946456,0.07516262713678139,0.28586292690161647,0.25176292690161645
7,2,4,False,True,0.001841637426179099,0.001841637426179099,0.09713410768272632,0.034012128785672814,0.5218583625738209,0.6081583625738207,0.1613046505875666,0.027199248230559726,0.5522583625738209,0.5581583625738208
8,2,4,False,True,0.22238013835303438,0.22238013835303438,0.5412778810147215,0.00022350100964182163,0.29711986164696574,0.31761986164696565,0.15091151014858634,0.05904775690103839,0.27041986164696574,0.2876198616469657
9,2,4,False,True,0.2848111490291741,0.2848111490291741,0.11571370127008085,0.035614624096069726,0.34878885097082585,0.41518885097082586,0.15367336403889145,0.1776943986917191,0.31158885097082584,0.2751888509708259
10,2,4,False,True,0.2874442826584125,0.2874442826584125,0.17992245809769788,0.34025581924490056,0.26545571734158746,0.3025557173415875,0.09260236262403468,0.0661803898270664,0.4775557173415873,0.5025557173415875
